"Grand_Prix","Hamilton_Finish","Round","Hamilton_Points"
"Bahrain","1",1,25
"Emilia-Romagna","2",2,18
"Portugal","1",3,25
"Spain","1",4,25
"Monaco","7",5,6
"Azerbaijan","15",6,0
"France","2",7,18
"Styria","2",8,18
"Austria","4",9,12
"Britain","1",10,25
"Hungary","2",11,18
"Belgium","3",12,15
"Netherlands","2",13,18
"Italy","ab",14,0
"Russia","1",15,25
"Turkey","5",16,10
"USA","2",17,18
"Mexico City","2",18,18
"São Paulo","1",19,25
"Qatar","1",20,25
"Saudi Arabia","1",21,25
"Abu Dhabi","2",22,18
